timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751619128551,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11337,,false,,0,0,1,1,null,0,0,1
1751619128553,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11340,,false,,0,0,1,1,null,0,0,1
1751619128554,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11342,,false,,0,0,2,2,null,0,0,1
1751619128554,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11341,,false,,0,0,2,2,null,0,0,1
1751619128556,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11344,,false,,0,0,4,4,null,0,0,0
1751619128556,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11338,,false,,0,0,4,4,null,0,0,0
1751619128556,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11343,,false,,0,0,4,4,null,0,0,0
1751619128556,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11339,,false,,0,0,4,4,null,0,0,0
1751619128557,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11345,,false,,0,0,1,1,null,0,0,0
1751619128558,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11346,,false,,0,0,1,1,null,0,0,0
1751619128559,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11347,,false,,0,0,1,1,null,0,0,0
1751619128560,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11348,,false,,0,0,2,2,null,0,0,1
1751619128560,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11349,,false,,0,0,2,2,null,0,0,1
1751619128561,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11350,,false,,0,0,1,1,null,0,0,0
1751619128562,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11351,,false,,0,0,1,1,null,0,0,0
1751619128564,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11352,,false,,0,0,1,1,null,0,0,0
1751619128565,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11353,,false,,0,0,1,1,null,0,0,0
1751619128567,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11354,,false,,0,0,1,1,null,0,0,0
1751619128571,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11355,,false,,0,0,3,3,null,0,0,0
1751619128571,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11357,,false,,0,0,3,3,null,0,0,0
1751619128570,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11359,,false,,0,0,3,3,null,0,0,1
1751619128572,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11360,,false,,0,0,3,3,null,0,0,0
1751619128572,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11356,,false,,0,0,3,3,null,0,0,0
1751619128572,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11358,,false,,0,0,3,3,null,0,0,0
1751619128576,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11361,,false,,0,0,4,4,null,0,0,1
1751619128576,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11363,,false,,0,0,4,4,null,0,0,1
1751619128576,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11362,,false,,0,0,4,4,null,0,0,1
1751619128576,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11364,,false,,0,0,4,4,null,0,0,1
1751619128577,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11365,,false,,0,0,1,1,null,0,0,1
1751619128579,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11366,,false,,0,0,1,1,null,0,0,0
1751619128581,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11369,,false,,0,0,2,2,null,0,0,1
